account-access-consents,account-access-consents_{ConsentId}
account-access-consents,account-access-consents
balances,accounts_{AccountId}_balances
beneficiaries,accounts_{AccountId}_beneficiaries
direct-debits,accounts_{AccountId}_direct-debits
offers,accounts_{AccountId}_offers
parties,accounts_{AccountId}_parties
parties,accounts_{AccountId}_party
products,accounts_{AccountId}_product
scheduled-payments,accounts_{AccountId}_scheduled-payments
standing-orders,accounts_{AccountId}_standing-orders
statements,accounts_{AccountId}_statements_{StatementId}_file
statements,accounts_{AccountId}_statements_{StatementId}_transactions
statements,accounts_{AccountId}_statements_{StatementId}
statements,accounts_{AccountId}_statements
transactions,accounts_{AccountId}_transactions
accounts,accounts_{AccountId}
accounts,accounts
balances,balances
beneficiaries,beneficiaries
direct-debits,direct-debits
offers,offers
parties,party
products,products
scheduled-payments,scheduled-payments
standing-orders,standing-orders
statements,statements
transactions,transactions
